Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
ICPI3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
SLCP3,"610,02","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
SALM3,"5,70","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,10","1,10","10,22%","4,13%","1,31","25,78%","19,53%","0,00","475.600.000,00","0,80","24,53%"
MRSA6B,"28,50","0,00","1,44","0,000","3,12%","0,545","7,51","0,00","-1,42","0,00","0,00","0,00%","0,00%","1,44","0,00%","0,00%","1.887,63","6.701.670.000,00","0,99","20,68%"
MRSA6B,"28,50","0,00","1,44","0,000","3,12%","0,545","7,51","0,00","-1,42","0,00","0,00","0,00%","0,00%","1,44","0,00%","0,00%","1.887,63","6.701.670.000,00","0,99","20,68%"
REPA4,"1,08","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","4,54","4,54","5,18%","1,22%","1,99","4,05%","1,91%","0,00","378.378.000,00","0,42","1,09%"
REPA3,"1,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","4,54","4,54","5,18%","1,22%","1,99","4,05%","1,91%","0,00","378.378.000,00","0,42","1,09%"
MSAN3,"6,44","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,21","0,21","6,27%","2,42%","1,18","11,78%","11,81%","0,00","2.533.030.000,00","0,39","101,35%"
NATU3,"36,86","0,00","3,60","0,000","0,00%","1,810","4,78","0,00","10,46","0,00","0,00","0,00%","0,00%","2,30","0,00%","0,00%","0,00","9.423.250.000,00","0,26","12,63%"
ODER3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","507.709.000,00","0,00","16,81%"
PRBC3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","1.233.510.000,00","0,00","-5,90%"
PRBC4,"14,54","0,00","38,40","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","1.233.510.000,00","0,00","-5,90%"
PTIP4,"25,15","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,62","3,62","13,73%","7,55%","0,70","23,13%","-121,74%","0,00","-155.957.000,00","-9,02","62,11%"
PTIP3,"22,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,62","3,62","13,73%","7,55%","0,70","23,13%","-121,74%","0,00","-155.957.000,00","-9,02","62,11%"
GALO3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","13,98%","-184,58%","0,00","39,37%","7,62%","0,00","-60.607.000,00","0,00","-28,97%"
FLCL6,"9,91","0,00","12,85","0,000","0,00%","2,351","104,63","0,00","-4,73","0,00","0,00","0,00%","0,00%","1,08","0,00%","0,00%","0,00","347.639.000,00","2,68","-49,62%"
FLCL5,"12,50","0,00","16,21","0,000","0,00%","2,966","131,97","0,00","-5,97","0,00","0,00","0,00%","0,00%","1,08","0,00%","0,00%","0,00","347.639.000,00","2,68","-49,62%"
MRSA5B,"27,16","0,00","1,37","0,000","3,27%","0,520","7,15","0,00","-1,35","0,00","0,00","0,00%","0,00%","1,44","0,00%","0,00%","1.221,30","6.701.670.000,00","0,99","20,68%"
MRSA5B,"27,16","0,00","1,37","0,000","3,27%","0,520","7,15","0,00","-1,35","0,00","0,00","0,00%","0,00%","1,44","0,00%","0,00%","1.221,30","6.701.670.000,00","0,99","20,68%"
MRSA3B,"29,50","0,00","1,49","0,000","0,00%","0,564","7,77","0,00","-1,47","0,00","0,00","0,00%","0,00%","1,44","0,00%","0,00%","4.214,72","6.701.670.000,00","0,99","20,68%"
MRSA3B,"29,50","0,00","1,49","0,000","0,00%","0,564","7,77","0,00","-1,47","0,00","0,00","0,00%","0,00%","1,44","0,00%","0,00%","4.214,72","6.701.670.000,00","0,99","20,68%"
SGEN4,"0,60","0,00","0,09","71,251","0,00%","0,059","-1,00","-3,81","-0,24","-4,50","-4,50","-1.871,17%","0,00%","0,65","-1,59%","0,00%","0,00","156.981.000,00","0,02","-59,85%"
SGEN3,"5,00","0,00","0,77","593,760","0,00%","0,493","-8,34","-31,73","-2,01","-32,42","-32,42","-1.871,17%","0,00%","0,65","-1,59%","0,00%","0,00","156.981.000,00","0,02","-59,85%"
SFSA3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,25%","0,00","739.524.000,00","0,00","0,15%"
